reviewContent,sentiment
bagus  mantap dah sesui pesanan,pos
"Bagus, sesuai foto",pos
okkkkk mantaaaaaaapppp ... goood,pos
bagus sesuai,pos
baru 10 bulan layarnya dah bergaris,neg
"Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",pos
Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,neg
Kualitas ok,pos
"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",neg
Pengiriman super lama.. tapi datang juga sich,neg
ok barang sampai dengan Baik.. smoga terus di pertahankan...,pos
barang sudah sampai dan bagus thanks lazada,pos
Pengiriman cepat sipplahhh.......,pos
Sampe Sekarang masih Ok ne laptop...,pos
Pengiriman cepat..  Packaging good..  Barang oke. Thnks seller Thnks Lazada,pos
"Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap..",pos
"Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam udah nyampe + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada",pos
Sudah cape2 transfer tapi pesanan ditolak,neg
"Barang Ok, kualitas bagus dengan harga yg cukup miring, kualitas gambar juga ok, pengiriman lumayan, ga nyesel pokonya beli TV ini",pos
Mantapppp barang nya,pos
Barang mulusss mantapppppp,pos
"Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",pos
"Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di install sendiri windows nya. Overall, it's worth the money.",pos
Barang sampai 2 hari dengan selamat dan sesuai deskripsi,pos
Harga sangat murah mantep banget,pos
Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,neg
"Kapasitas HDD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",pos
barang sesuai dengan gambar,pos
"HD diterima dg packing bubble bagus, hanya tidak tertulis, barang elektronik, atw keterangan lain, agar penanganan lebih hati2 dan istimewa, ketika paket dalam perjalanan. Finally, 4bintang lhah...",pos
"Mantap gan Barang sampai dengan selamat , Packing rapih , pokok Mantap lah !",pos
Oke,pos
"Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng",pos
Barang diterima dengan kondisi yang baik tapi packagingnya kurang,pos
"Suka banget sama barangnya packing nya rapi, pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini",pos
"Flashdisk ori, Packing bagus. Saya suka.Thx",pos
aman cepat pula,pos
Bagus ori kok cuma hanya aja 58 gb:( klo 63 gpp hilang 1 gb,neg
